sentence1	sentence2	gold_label
해변에서 즐기는 남자, 여자, 아이.	세 가족이 해변에 있다.	entailment
해변에서 즐기는 남자, 여자, 아이.	3명의 가족이 쇼핑몰 쇼핑에 있다.	contradiction
기차를 타려고 기다리거나 그냥 내리는 사람들.	기차에서 기다리고 있는 사람들이 앉아 있다.	neutral
기차를 타려고 기다리거나 그냥 내리는 사람들.	사람들이 기차를 타고 있다	contradiction
기차를 타려고 기다리거나 그냥 내리는 사람들.	기차에서 기다리는 사람들이 있다.	entailment
해변에서 어린 소년과 놀고 있는 커플.	한 커플이 밖에서 어린 아이와 놀고 있다.	entailment
해변에서 어린 소년과 놀고 있는 커플.	한 커플이 해변에서 어린 아이와 프리스비를 하고 있다.	neutral
해변에서 어린 소년과 놀고 있는 커플.	한 커플이 해변에서 혼자 노는 어린 소녀를 본다.	contradiction
한 커플이 어린 아들과 함께 조수에서 논다.	가족들이 저녁 식사를 위해 자리에 앉아 있다.	contradiction
한 커플이 어린 아들과 함께 조수에서 논다.	가족이 밖에 있다.	entailment
한 커플이 어린 아들과 함께 조수에서 논다.	그 가족은 휴가 중이다.	neutral
한 남자와 한 여자가 피자와 자이로 레스토랑 앞에서 길을 건넌다.	사람들이 길가에 가만히 서 있다.	contradiction
한 남자와 한 여자가 피자와 자이로 레스토랑 앞에서 길을 건넌다.	식당 두어 곳 근처에서 두 사람이 길을 건넌다.	entailment
한 남자와 한 여자가 피자와 자이로 레스토랑 앞에서 길을 건넌다.	그 커플은 함께 길을 건너고 있다.	neutral
초록색 재킷을 입고 두건을 쓴 여자가 골짜기를 바라보고 있다.	여자는 제정신이 아니다.	contradiction
초록색 재킷을 입고 두건을 쓴 여자가 골짜기를 바라보고 있다.	여자는 차갑다.	neutral
초록색 재킷을 입고 두건을 쓴 여자가 골짜기를 바라보고 있다.	여자가 녹색 옷을 입고 있다.	entailment
전경에 흰 옷을 입은 여자와 존의 피자와 자이로를 배경으로 간판을 들고 약간 뒤에 있는 남자.	간판을 가진 남자는 백인이다.	neutral
전경에 흰 옷을 입은 여자와 존의 피자와 자이로를 배경으로 간판을 들고 약간 뒤에 있는 남자.	그들은 수도 밖에서 항의하고 있다.	contradiction
전경에 흰 옷을 입은 여자와 존의 피자와 자이로를 배경으로 간판을 들고 약간 뒤에 있는 남자.	흰 옷을 입은 여자.	entailment
전경에 흰 옷을 입은 여자와 존의 피자와 자이로를 배경으로 간판을 들고 약간 뒤에 있는 남자.	남자가 식당 광고를 하고 있다.	entailment
전경에 흰 옷을 입은 여자와 존의 피자와 자이로를 배경으로 간판을 들고 약간 뒤에 있는 남자.	여자가 검은 옷을 입고 있다.	contradiction
전경에 흰 옷을 입은 여자와 존의 피자와 자이로를 배경으로 간판을 들고 약간 뒤에 있는 남자.	한 남자와 한 여자가 붐비는 도시 거리를 걷고 있다.	neutral
전경에 흰 옷을 입은 여자와 존의 피자와 자이로를 배경으로 간판을 들고 약간 뒤에 있는 남자.	여자가 흰 옷을 입고 있다.	entailment
전경에 흰 옷을 입은 여자와 존의 피자와 자이로를 배경으로 간판을 들고 약간 뒤에 있는 남자.	그들은 John's Pizza에서 일하고 있다.	neutral
전경에 흰 옷을 입은 여자와 존의 피자와 자이로를 배경으로 간판을 들고 약간 뒤에 있는 남자.	올림픽 수영.	contradiction
전경에 흰 옷을 입은 여자와 존의 피자와 자이로를 배경으로 간판을 들고 약간 뒤에 있는 남자.	한 남자와 소만이 존의 피자와 자이로에서 함께 식사를 하고 있다.	contradiction
전경에 흰 옷을 입은 여자와 존의 피자와 자이로를 배경으로 간판을 들고 약간 뒤에 있는 남자.	그들은 간판을 들고 걷고 있다.	entailment
전경에 흰 옷을 입은 여자와 존의 피자와 자이로를 배경으로 간판을 들고 약간 뒤에 있는 남자.	여자가 친구를 기다리고 있다.	neutral
전경에 흰 옷을 입은 여자와 존의 피자와 자이로를 배경으로 간판을 들고 약간 뒤에 있는 남자.	그 남자는 존의 피자와 자이로를 품에 안고 있는 동안 앉아 있다.	contradiction
전경에 흰 옷을 입은 여자와 존의 피자와 자이로를 배경으로 간판을 들고 약간 뒤에 있는 남자.	여자와 남자는 야외에 있다.	entailment
전경에 흰 옷을 입은 여자와 존의 피자와 자이로를 배경으로 간판을 들고 약간 뒤에 있는 남자.	피자를 주문하는 여자.	neutral
어른 두 명, 흰 옷을 입은 여자 한 명, 그늘진 남자 한 명, 회색 옷을 입은 남자 한 명이 전경에 짙은 색의 붉은 셔츠를 입은 사람의 흐릿한 이미지가 있는 식당에서 길을 건너고 있다.	사람들은 친척이다.	neutral
어른 두 명, 흰 옷을 입은 여자 한 명, 그늘진 남자 한 명, 회색 옷을 입은 남자 한 명이 전경에 짙은 색의 붉은 셔츠를 입은 사람의 흐릿한 이미지가 있는 식당에서 길을 건너고 있다.	두 명의 성인이 그들을 쫓는 빨간 셔츠를 입은 사람으로부터 벗어나기 위해 길을 가로질러 달려간다.	contradiction
어른 두 명, 흰 옷을 입은 여자 한 명, 그늘진 남자 한 명, 회색 옷을 입은 남자 한 명이 전경에 짙은 색의 붉은 셔츠를 입은 사람의 흐릿한 이미지가 있는 식당에서 길을 건너고 있다.	어른들은 남성과 여성이다.	entailment
어른 두 명, 흰 옷을 입은 여자 한 명, 그늘진 남자 한 명, 회색 옷을 입은 남자 한 명이 전경에 짙은 색의 붉은 셔츠를 입은 사람의 흐릿한 이미지가 있는 식당에서 길을 건너고 있다.	맛있는 스테이크를 먹고 두 사람이 집으로 걸어간다.	neutral
어른 두 명, 흰 옷을 입은 여자 한 명, 그늘진 남자 한 명, 회색 옷을 입은 남자 한 명이 전경에 짙은 색의 붉은 셔츠를 입은 사람의 흐릿한 이미지가 있는 식당에서 길을 건너고 있다.	물에서 수영하는 두 명의 성인	contradiction
어른 두 명, 흰 옷을 입은 여자 한 명, 그늘진 남자 한 명, 회색 옷을 입은 남자 한 명이 전경에 짙은 색의 붉은 셔츠를 입은 사람의 흐릿한 이미지가 있는 식당에서 길을 건너고 있다.	어른 두 명이 길을 건넌다.	entailment
어른 두 명, 흰 옷을 입은 여자 한 명, 그늘진 남자 한 명, 회색 옷을 입은 남자 한 명이 전경에 짙은 색의 붉은 셔츠를 입은 사람의 흐릿한 이미지가 있는 식당에서 길을 건너고 있다.	두 사람이 자전거를 타고 터널로 들어간다.	contradiction
어른 두 명, 흰 옷을 입은 여자 한 명, 그늘진 남자 한 명, 회색 옷을 입은 남자 한 명이 전경에 짙은 색의 붉은 셔츠를 입은 사람의 흐릿한 이미지가 있는 식당에서 길을 건너고 있다.	두 사람이 길 건너 식당에서 걸어 나간다.	entailment
어른 두 명, 흰 옷을 입은 여자 한 명, 그늘진 남자 한 명, 회색 옷을 입은 남자 한 명이 전경에 짙은 색의 붉은 셔츠를 입은 사람의 흐릿한 이미지가 있는 식당에서 길을 건너고 있다.	빨간 옷을 입은 유죄판결을 받은 죄수 근처 도로를 걸어가는 두 명의 성인	neutral
어른 두 명, 흰 옷을 입은 여자 한 명, 그늘진 남자 한 명, 회색 옷을 입은 남자 한 명이 전경에 짙은 색의 붉은 셔츠를 입은 사람의 흐릿한 이미지가 있는 식당에서 길을 건너고 있다.	두 친구가 길을 건넌다.	neutral
어른 두 명, 흰 옷을 입은 여자 한 명, 그늘진 남자 한 명, 회색 옷을 입은 남자 한 명이 전경에 짙은 색의 붉은 셔츠를 입은 사람의 흐릿한 이미지가 있는 식당에서 길을 건너고 있다.	어떤 사람들은 기차에 탄다.	contradiction
어른 두 명, 흰 옷을 입은 여자 한 명, 그늘진 남자 한 명, 회색 옷을 입은 남자 한 명이 전경에 짙은 색의 붉은 셔츠를 입은 사람의 흐릿한 이미지가 있는 식당에서 길을 건너고 있다.	두 명의 성인이 길을 건넌다.	entailment
어른 두 명, 흰 옷을 입은 여자 한 명, 그늘진 남자 한 명, 회색 옷을 입은 남자 한 명이 전경에 짙은 색의 붉은 셔츠를 입은 사람의 흐릿한 이미지가 있는 식당에서 길을 건너고 있다.	길을 건너는 두 명의 성인	entailment
어른 두 명, 흰 옷을 입은 여자 한 명, 그늘진 남자 한 명, 회색 옷을 입은 남자 한 명이 전경에 짙은 색의 붉은 셔츠를 입은 사람의 흐릿한 이미지가 있는 식당에서 길을 건너고 있다.	사진 속에는 여자가 없다.	contradiction
어른 두 명, 흰 옷을 입은 여자 한 명, 그늘진 남자 한 명, 회색 옷을 입은 남자 한 명이 전경에 짙은 색의 붉은 셔츠를 입은 사람의 흐릿한 이미지가 있는 식당에서 길을 건너고 있다.	두 명의 성인이 그들을 쫓고 있는 빨간 셔츠를 입은 사람으로부터 벗어나기 위해 길을 건넌다.	neutral
흰 옷을 입고 식사를 하는 여자가 서류가방을 들고 있는 남자 옆을 걷는다.	결혼한 부부가 자고 있다.	contradiction
흰 옷을 입고 식사를 하는 여자가 서류가방을 들고 있는 남자 옆을 걷는다.	여자가 남자 옆에 있다.	entailment
흰 옷을 입고 식사를 하는 여자가 서류가방을 들고 있는 남자 옆을 걷는다.	한 결혼한 커플이 옆에서 걷고 있다.	neutral
남자가 서류가방을 들고 따라가는 동안 한 여자가 바나나를 먹으며 길을 건너고 있다.	아무도 음식을 가지고 있지 않다.	contradiction
남자가 서류가방을 들고 따라가는 동안 한 여자가 바나나를 먹으며 길을 건너고 있다.	여자가 바나나를 먹고 길을 건너는데, 그 뒤에 한 남자가 따라오고 있다.	entailment
남자가 서류가방을 들고 따라가는 동안 한 여자가 바나나를 먹으며 길을 건너고 있다.	여자와 남자가 함께 야구를 하고 있다.	contradiction
남자가 서류가방을 들고 따라가는 동안 한 여자가 바나나를 먹으며 길을 건너고 있다.	두 동료가 길에서 길을 건너다	neutral
남자가 서류가방을 들고 따라가는 동안 한 여자가 바나나를 먹으며 길을 건너고 있다.	한 여자가 인도를 걸어가며 아이스크림을 먹고, 지갑을 들고 앞에 또 다른 여자가 있다.	contradiction
남자가 서류가방을 들고 따라가는 동안 한 여자가 바나나를 먹으며 길을 건너고 있다.	남자 서류가방은 일용이다.	neutral
남자가 서류가방을 들고 따라가는 동안 한 여자가 바나나를 먹으며 길을 건너고 있다.	먹는 사람.	entailment
남자가 서류가방을 들고 따라가는 동안 한 여자가 바나나를 먹으며 길을 건너고 있다.	배고픈 사람.	neutral
남자가 서류가방을 들고 따라가는 동안 한 여자가 바나나를 먹으며 길을 건너고 있다.	한 여배우와 그녀가 가장 좋아하는 조수가 도시에서 산책을 한다.	neutral
남자가 서류가방을 들고 따라가는 동안 한 여자가 바나나를 먹으며 길을 건너고 있다.	바나나를 먹는 여자가 길을 건넌다	entailment
남자가 서류가방을 들고 따라가는 동안 한 여자가 바나나를 먹으며 길을 건너고 있다.	그 여자는 유혹자이다	neutral
남자가 서류가방을 들고 따라가는 동안 한 여자가 바나나를 먹으며 길을 건너고 있다.	여자가 점심을 먹기 위해 앉아 있다	contradiction
남자가 서류가방을 들고 따라가는 동안 한 여자가 바나나를 먹으며 길을 건너고 있다.	여자가 카페에서 커피를 마시고 있다	contradiction
남자가 서류가방을 들고 따라가는 동안 한 여자가 바나나를 먹으며 길을 건너고 있다.	여자가 바나나를 먹고 있다.	entailment
남자가 서류가방을 들고 따라가는 동안 한 여자가 바나나를 먹으며 길을 건너고 있다.	여자가 밖에 있다	entailment
스키 선수가 금속 난간을 따라 미끄러진다.	스키 선수가 아래를 내려다보고 있는 레일 근처에 있다.	neutral
스키 선수가 금속 난간을 따라 미끄러진다.	스키 선수가 레일 근처에 있다.	entailment
스키 선수가 금속 난간을 따라 미끄러진다.	스키 선수가 난간에서 떨어져 있다.	contradiction
밤에 난간에서 스키를 탄 사람.	여자는 차를 먹는다	contradiction
밤에 난간에서 스키를 탄 사람.	그 사람은 스키를 탄다	entailment
밤에 난간에서 스키를 탄 사람.	그들은 환상적인 스키 선수입니다	neutral
금속 막대로 만든 경사로 가장자리에 있는 전기 녹색의 스키어.	스키 선수는 경사로 가장자리에 있었다.	neutral
금속 막대로 만든 경사로 가장자리에 있는 전기 녹색의 스키어.	밝은 옷을 입은 스키 선수가 경주 코스를 미끄러져 내려갔다.	entailment
금속 막대로 만든 경사로 가장자리에 있는 전기 녹색의 스키어.	조깅하는 사람이 거리를 뛰어다녔다.	contradiction
노란색 유니폼을 입은 스키 선수가 난간을 가로질러 묘기를 부리고 있다.	스노우보더가 스키 리프트를 타고 있다.	contradiction
노란색 유니폼을 입은 스키 선수가 난간을 가로질러 묘기를 부리고 있다.	스키 선수가 시합에 참가하고 있다.	neutral
노란색 유니폼을 입은 스키 선수가 난간을 가로질러 묘기를 부리고 있다.	누군가가 겨울 스포츠에 참여하고 있다.	entailment
금발의 남자가 공공 분수대에서 술을 마시고 있다.	남자가 물을 마시고 있다.	entailment
금발의 남자가 공공 분수대에서 술을 마시고 있다.	그 남자는 매우 목이 마르다.	neutral
금발의 남자가 공공 분수대에서 술을 마시고 있다.	남자가 커피를 마시고 있다.	contradiction
젖은 갈색 개가 카메라를 향해 헤엄친다.	개가 침대에서 자고 있다.	contradiction
젖은 갈색 개가 카메라를 향해 헤엄친다.	개가 연못에서 사냥을 하고 있다.	neutral
젖은 갈색 개가 카메라를 향해 헤엄친다.	개가 물속에 있다.	entailment
수영하는 개의 클로즈업 이미지.	고양이는 마지못해 목욕을 한다.	contradiction
수영하는 개의 클로즈업 이미지.	수중 카메라는 강아지의 사진을 찍습니다.	neutral
수영하는 개의 클로즈업 이미지.	개 한 마리가 물속에서 헤엄친다.	entailment
털북숭이 갈색 개가 바다에서 헤엄치고 있다.	개가 물고기를 쫓고 있다.	neutral
털북숭이 갈색 개가 바다에서 헤엄치고 있다.	개가 수영을 하고 있다.	entailment
털북숭이 갈색 개가 바다에서 헤엄치고 있다.	개가 마당을 뛰어다닌다.	contradiction
커다란 갈색 개가 카메라를 향해 헤엄친다.	개가 막대기를 쫓고 있다.	contradiction
커다란 갈색 개가 카메라를 향해 헤엄친다.	사진사가 개 사진을 찍고 있다.	neutral
커다란 갈색 개가 카메라를 향해 헤엄친다.	개가 카메라를 향해 헤엄친다.	entailment
회색 모자를 쓴 검은 옷을 입은 남자가 쇠스랑을 들고 말이 끄는 수레를 지휘한다.	회색 모자를 쓴 농부가 말이 끄는 수레를 몰고 있다.	neutral
회색 모자를 쓴 검은 옷을 입은 남자가 쇠스랑을 들고 말이 끄는 수레를 지휘한다.	회색 모자와 쇠스랑을 든 남자가 카트를 지휘하고 있다.	entailment
회색 모자를 쓴 검은 옷을 입은 남자가 쇠스랑을 들고 말이 끄는 수레를 지휘한다.	파란 드레스를 입은 여자가 말을 수레에 싣고 있다.	contradiction
한 남자가 클라이드데일을 이끌고 건초길을 오르고 있다.	한 남자가 말을 데리고 시골길을 걷고 있다.	entailment
한 남자가 클라이드데일을 이끌고 건초길을 오르고 있다.	회색 비즈니스 정장을 입은 여자가 차를 마시고 있다.	contradiction
한 남자가 클라이드데일을 이끌고 건초길을 오르고 있다.	밀짚모자와 상의를 입은 남자가 말을 타고 시골길을 걷고 있다.	neutral
말과 마차로 거름으로 정원을 비옥하게 하는 농부.	남자가 정원에 비료를 뿌리고 있다.	entailment
말과 마차로 거름으로 정원을 비옥하게 하는 농부.	그 남자는 말과 마차를 가지고 도시 거리에 있다.	contradiction
말과 마차로 거름으로 정원을 비옥하게 하는 농부.	그 남자는 말과 마차가 있는 탁 트인 들판에 있다.	neutral
남자가 서서 지켜보는 동안 백마가 수레를 끌고 있다.	말이 물건을 운반하고 있다.	neutral
남자가 서서 지켜보는 동안 백마가 수레를 끌고 있다.	한 동물이 밖으로 걷고 있다.	entailment
남자가 서서 지켜보는 동안 백마가 수레를 끌고 있다.	남자가 경마를 보고 있다.	contradiction
소수의 교회 신도들이 합창 연습을 지켜보고 있다.	한 무리가 연습을 본다.	entailment
소수의 교회 신도들이 합창 연습을 지켜보고 있다.	합창단이 꽉 찬 사람들 앞에서 공연을 한다.	contradiction
소수의 교회 신도들이 합창 연습을 지켜보고 있다.	목사와 장로들은 합창단이 좋은지 확인하기 위해 성가대를 지켜본다.	neutral
개가 해변에 빨간 원반을 떨어뜨린다.	개가 해변에서 공을 잡다	contradiction
개가 해변에 빨간 원반을 떨어뜨린다.	개가 소년과 함께 디스크를 떨어뜨린다	neutral
개가 해변에 빨간 원반을 떨어뜨린다.	개가 빨간 원반을 떨어뜨리다	entailment
한 남자와 한 여자가 언덕 꼭대기의 거리를 걷고 있다.	결혼한 부부가 언덕 꼭대기를 걷는다.	neutral
한 남자와 한 여자가 언덕 꼭대기의 거리를 걷고 있다.	한 남자와 여자가 거리를 걷는다.	entailment
한 남자와 한 여자가 언덕 꼭대기의 거리를 걷고 있다.	두 남자가 언덕에서 캐치볼을 한다.	contradiction
한 노인이 카페에서 오렌지 주스를 마시고 있다.	한 노인이 술집에서 사과 주스를 마시고 있다.	contradiction
한 노인이 카페에서 오렌지 주스를 마시고 있다.	한 나이든 신사가 새 카페에서 오렌지 주스를 즐기고 있다.	neutral
한 노인이 카페에서 오렌지 주스를 마시고 있다.	한 노인이 카페에서 음료를 즐기고 있다.	entailment
손을 잡은 커플이 거리를 걷는다.	두 남자가 길을 걷다가 손을 잡는다.	neutral
손을 잡은 커플이 거리를 걷는다.	길가에 사람들이 앉아 있다.	contradiction
손을 잡은 커플이 거리를 걷는다.	사람들이 손을 잡고 걷고 있다.	entailment
한 커플이 하얀 벽돌 마을을 지나간다.	사람들이 야외에서 걷고 있다.	entailment
한 커플이 하얀 벽돌 마을을 지나간다.	한 남자와 여자가 갈색 벽돌 도시를 걷고 있다.	contradiction
한 커플이 하얀 벽돌 마을을 지나간다.	한 남녀가 대도시를 걷는다.	neutral
학교에서 집으로 가는 아이들.	아이들은 도서관에 있다.	contradiction
학교에서 집으로 가는 아이들.	학교 아이들은 집으로 향한다.	entailment
학교에서 집으로 가는 아이들.	아이들이 오후에 걷고 있다.	neutral
가톨릭 교회에서 합창단을 듣는 사람들.	사람들이 금속 밴드를 듣고 있다.	contradiction
가톨릭 교회에서 합창단을 듣는 사람들.	합창단이 미사로 노래한다.	entailment
가톨릭 교회에서 합창단을 듣는 사람들.	사람들은 첫 성찬식을 위해 집단으로 모여 있다	neutral
교차로에서 기다리고 있는 자전거 타는 사람들.	자전거 타는 사람이 쇼핑몰에서 점심을 먹고 앉아 있다.	contradiction
교차로에서 기다리고 있는 자전거 타는 사람들.	자전거 타는 사람들은 밖에 있다.	entailment
교차로에서 기다리고 있는 자전거 타는 사람들.	차가 지나가기를 기다리는 자전거 타는 사람들.	neutral
교차로에서 기다리고 있는 자전거 타는 사람들.	불이 녹색인 동안 자전거를 탄 사람이 기다리고 있다.	neutral
교차로에서 기다리고 있는 자전거 타는 사람들.	자전거가 도로 위에 있다.	entailment
교차로에서 기다리고 있는 자전거 타는 사람들.	자전거를 탄 사람이 거리 근처에 있다.	entailment
교차로에서 기다리고 있는 자전거 타는 사람들.	자전거 타는 사람들은 멈춰서 교차로에서 교통을 기다린다.	entailment
교차로에서 기다리고 있는 자전거 타는 사람들.	자전거 타는 사람들은 자전거를 타고 쇼핑몰을 지나간다.	contradiction
교차로에서 기다리고 있는 자전거 타는 사람들.	자전거 타는 사람들이 건너갈 차례를 기다리고 있다.	entailment
교차로에서 기다리고 있는 자전거 타는 사람들.	자전거 타는 사람들이 고속도로를 따라 달리고 있다.	contradiction
교차로에서 기다리고 있는 자전거 타는 사람들.	자전거 타는 사람들은 죽었다.	contradiction
교차로에서 기다리고 있는 자전거 타는 사람들.	자전거 타는 사람들이 서점에 가고 있다.	neutral
교차로에서 기다리고 있는 자전거 타는 사람들.	자전거 타는 사람들이 경주를 하고 있다.	neutral
교차로에서 기다리고 있는 자전거 타는 사람들.	자전거 타는 사람들은 집에 있다.	contradiction
교차로에서 기다리고 있는 자전거 타는 사람들.	한 무리의 자전거 타는 사람들이 교차로의 보도 위에 남아 있다.	neutral
자전거의 불빛을 기다리는 사람들.	한 무리의 친구들이 배를 타고 있다	contradiction
자전거의 불빛을 기다리는 사람들.	자전거를 탄 사람들.	entailment
자전거의 불빛을 기다리는 사람들.	전등에 자전거를 타는 사람들이 있다	neutral
자전거의 불빛을 기다리는 사람들.	사람들이 안에서 기다리고 있다.	contradiction
자전거의 불빛을 기다리는 사람들.	밖에 사람들이 몇 명 있다.	entailment
자전거의 불빛을 기다리는 사람들.	사람들이 자전거를 타고 있다.	entailment
자전거의 불빛을 기다리는 사람들.	사람들이 자전거를 타고 체육관으로 가고 있다.	neutral
자전거의 불빛을 기다리는 사람들.	사람들이 시내를 자전거로 지나간다.	neutral
자전거의 불빛을 기다리는 사람들.	사람들이 자전거를 타고 있다.	entailment
자전거의 불빛을 기다리는 사람들.	자전거 옆에는 교통체증이 있다.	neutral
자전거의 불빛을 기다리는 사람들.	사람들이 빨간불을 켜고 있다.	contradiction
자전거의 불빛을 기다리는 사람들.	자동차 경주를 하는 사람들.	contradiction
자전거의 불빛을 기다리는 사람들.	길모퉁이에 있는 남자들과 여자들.	entailment
자전거의 불빛을 기다리는 사람들.	무당벌레 한 마리가 아름다운 분홍색 장미 위에 떨어졌다.	contradiction
자전거의 불빛을 기다리는 사람들.	오토바이를 탄 남녀, 헬멧과 보호 재킷을 입고 있었다.	neutral
자전거를 탄 사람들이 교차로에서 기다리고 있다.	사람들이 스케이트보드를 타고 있다.	contradiction
자전거를 탄 사람들이 교차로에서 기다리고 있다.	사람들이 자전거를 타고 있다.	entailment
자전거를 탄 사람들이 교차로에서 기다리고 있다.	지금 자전거 경주가 벌어지고 있다.	neutral
자전거를 탄 사람들이 교차로에서 기다리고 있다.	자전거를 탄 사람들은 교통 체증을 기다리는 대화를 즐긴다.	neutral
자전거를 탄 사람들이 교차로에서 기다리고 있다.	사람들이 길 건너 편의점에 가려고 애쓰고 있다.	neutral
자전거를 탄 사람들이 교차로에서 기다리고 있다.	사람들은 교통체증으로 기다린다.	entailment
자전거를 탄 사람들이 교차로에서 기다리고 있다.	자전거를 탄 몇몇 사람들은 교차로에서 정차한다.	neutral
자전거를 탄 사람들이 교차로에서 기다리고 있다.	사람들이 걸어서 기다리고 있다.	contradiction
자전거를 탄 사람들이 교차로에서 기다리고 있다.	도로에 자전거 타는 사람들이 멈춰 있다.	entailment
자전거를 탄 사람들이 교차로에서 기다리고 있다.	사람들이 자고 있다.	contradiction
자전거를 탄 사람들이 교차로에서 기다리고 있다.	사람들이 영화가 시작되기를 기다리고 있다.	contradiction
